session_id,user_id,timestamp_utc,event_index,user_action,product_id,category,brand,price,channel,device_type,region,traffic_source,time_spent_sec,session_length,interaction_count,is_conversion,drop_off_flag
S2-70017E2F83AF,U-95105,2024-03-06 15:21:41,4,click,P-5136,Apparel,Asics,160.29,mobile,android,BR,referral,376.7,320.3,15,false,true
S2-01193C558974,U-33234,2024-03-01 17:03:18,16,add_to_cart,P-4953,Electronics,Adidas,935.4,mobile,tablet,IN,social,576.3,1365.5,7,false,false
S2-54DD44CBAB24,U-34015,2024-03-05 03:15:54,3,purchase,P-3321,Apparel,Bose,41.95,mobile,ios,AU,paid_search,355.5,3108.3,8,true,false
S2-1B7F838FCFCD,U-23358,2024-03-03 02:41:20,2,drop,P-4306,Home,H&M,771.19,mobile,android,FR,affiliate,329.8,2717.9,44,false,false
S2-5269D5F1037F,U-74311,2024-03-04 13:43:26,1,view,P-4191,Apparel,Ikea,19.32,app,ios,JP,direct,351.8,373.8,22,false,true
S2-3A9B4ED56540,U-97671,2024-03-07 05:58:52,14,click,P-8680,Home,Loreal,560.35,mobile,desktop,IN,social,20.7,1792.1,10,false,true
S2-E86188E9C872,U-94139,2024-03-07 19:19:02,20,click,P-1103,Groceries,DailyFresh,17.89,mobile,desktop,US,organic,84.5,3472.7,40,false,true
S2-6FF2614D0A44,U-64828,2024-03-03 13:07:27,12,add_to_cart,P-9155,Beauty,DailyFresh,10.22,web,tablet,IN,organic,246.3,3145.5,26,false,false
S2-70D6A3C65116,U-92259,2024-03-03 23:55:39,11,add_to_cart,P-8228,Electronics,Coach,1489.88,mobile,tablet,UK,email,596.4,760.9,28,false,false
S2-6626F23E7F42,U-42912,2024-03-05 18:52:00,18,add_to_cart,P-4489,Shoes,Sony,175.43,mobile,android,FR,email,405.4,2123.7,21,false,true
S2-ED8EC94D3E2E,U-78712,2024-03-07 01:38:13,20,click,P-1055,Apparel,Spalding,175.66,web,ios,FR,direct,281.1,350.5,18,false,true
S2-D49C80F8647E,U-16819,2024-03-03 19:45:19,20,click,P-8237,Home,Under Armour,337.28,web,android,AU,organic,512.5,3412.8,24,false,false
S2-6CA5B0BCB6EA,U-85601,2024-03-01 00:36:43,7,wishlist,P-3064,Accessories,Maybelline,35.03,app,tablet,FR,social,256.7,2648.8,10,false,true
S2-4291F30C4A26,U-15193,2024-03-07 20:09:04,19,wishlist,P-4956,Home,H&M,74.99,mobile,desktop,AU,affiliate,469.0,2215.4,19,false,true
S2-754728439546,U-88353,2024-03-05 00:10:50,18,wishlist,P-3389,Home,Maybelline,681.88,mobile,android,JP,direct,392.0,1674.4,39,false,false
S2-A8817BB66F65,U-73878,2024-03-01 13:51:50,16,wishlist,P-7685,Sports,Olay,196.85,app,android,FR,direct,497.5,156.9,49,false,false
S2-6A162A3B98BE,U-96443,2024-03-04 03:53:56,4,purchase,P-1556,Sports,Sony,469.86,app,desktop,BR,organic,214.0,2246.2,3,true,false
S2-9D06F1187CA3,U-24619,2024-03-03 10:26:42,7,add_to_cart,P-3893,Home,Maybelline,739.02,web,desktop,JP,social,460.8,1247.1,10,false,true
S2-BCC2BC8AD4AB,U-39819,2024-03-02 05:36:59,18,purchase,P-9642,Apparel,Ikea,131.38,web,desktop,IN,email,222.5,1388.0,49,true,false
S2-B59210EF8B00,U-97761,2024-03-02 12:51:46,2,drop,P-8682,Groceries,Ikea,27.88,web,ios,UK,email,87.4,2418.4,33,false,false
S2-9B28058F1930,U-59262,2024-03-03 17:22:07,12,wishlist,P-9733,Electronics,Maybelline,471.86,web,android,BR,direct,581.8,770.6,29,false,false
S2-AE4010BEB03E,U-22408,2024-03-07 08:21:17,10,drop,P-4407,Apparel,Spalding,155.41,app,desktop,IN,social,297.9,306.5,42,false,false
S2-A3FCE5E7059D,U-64269,2024-03-04 09:59:14,7,view,P-2411,Beauty,Apple,78.87,web,desktop,DE,email,335.6,1526.8,21,false,true
S2-58C32517A97E,U-95627,2024-03-04 06:49:07,3,click,P-9778,Apparel,Olay,154.41,web,tablet,IN,email,194.8,2856.5,48,false,false
S2-F72E2A1FBB60,U-77229,2024-03-03 14:32:14,17,view,P-8951,Home,Fossil,268.44,web,desktop,US,affiliate,382.3,3138.7,12,false,true
S2-136EED923448,U-89390,2024-03-05 16:55:57,9,click,P-5828,Electronics,Nike,1481.6,web,android,DE,paid_search,449.7,3058.4,24,false,true
S2-783701287AD2,U-61233,2024-03-06 15:04:02,15,purchase,P-8373,Groceries,Fossil,31.46,web,tablet,UK,organic,173.0,804.7,45,true,false
S2-786F8EB250A0,U-48264,2024-03-05 12:20:29,6,purchase,P-4965,Home,Target,302.88,app,ios,IN,social,346.9,118.0,1,true,false
S2-F5C1091B08EE,U-20841,2024-03-02 14:29:03,5,wishlist,P-7592,Sports,Ray-Ban,105.79,mobile,tablet,JP,affiliate,316.7,2021.7,35,false,false
S2-6D107178EF8B,U-51747,2024-03-02 07:17:42,7,view,P-9078,Shoes,Bose,284.29,app,tablet,UK,organic,317.4,3456.2,49,false,true
S2-E1A3A4DB0F2C,U-68707,2024-03-02 07:44:47,3,drop,P-6310,Sports,Apple,492.6,web,ios,UK,affiliate,98.5,1318.2,9,false,true
S2-AF42BEBF9DA1,U-76735,2024-03-02 01:54:49,6,purchase,P-2682,Groceries,Fossil,3.06,app,desktop,AU,referral,169.1,1095.4,38,true,false
S2-7D16AF536640,U-80571,2024-03-07 04:15:45,8,drop,P-6119,Shoes,DailyFresh,242.11,app,ios,UK,paid_search,448.4,120.8,12,false,false
S2-869445052E13,U-62616,2024-03-01 11:40:15,17,wishlist,P-3933,Sports,Target,101.82,mobile,desktop,US,affiliate,244.5,1100.6,18,false,true
S2-2A4ACE48170F,U-69831,2024-03-07 09:15:18,6,click,P-3896,Accessories,Puma,239.62,app,android,BR,direct,187.5,165.4,5,false,false
S2-3DEA390AFFE4,U-79477,2024-03-04 21:34:14,18,wishlist,P-7775,Home,Ray-Ban,441.02,mobile,android,FR,organic,549.2,3240.2,25,false,true
S2-86E9A10AE0A4,U-10463,2024-03-06 13:15:15,9,purchase,P-9880,Home,Wayfair,645.26,app,android,IN,organic,589.7,2452.8,16,true,false
S2-96EF9EE72403,U-88319,2024-03-04 08:17:49,12,add_to_cart,P-4348,Groceries,Mainstays,49.68,app,tablet,IN,social,70.1,3024.6,12,false,true
S2-3217FF5B46A8,U-31029,2024-03-02 16:17:48,6,view,P-6244,Home,Neutrogena,237.02,mobile,android,UK,paid_search,237.7,813.1,49,false,false
S2-C29A5B64F9B7,U-70965,2024-03-03 16:09:52,10,purchase,P-1517,Groceries,Fitbit,44.49,web,desktop,IN,email,122.2,1398.2,46,true,false
S2-73207F2C0E3E,U-21526,2024-03-03 11:26:06,11,purchase,P-5260,Sports,Maybelline,296.8,web,desktop,IN,social,551.5,1805.2,45,true,false
S2-37215BF72B73,U-58075,2024-03-07 10:14:43,8,drop,P-5008,Electronics,Asics,587.21,app,desktop,JP,affiliate,370.9,824.2,50,false,true
S2-C531AD511C8D,U-77194,2024-03-07 00:27:39,3,drop,P-9038,Home,Nike,324.86,web,ios,IN,referral,314.3,3016.9,19,false,true
S2-72CE49A9C207,U-92159,2024-03-05 22:44:47,17,view,P-7152,Shoes,Maybelline,242.48,mobile,desktop,JP,affiliate,267.4,3051.2,35,false,false
S2-DC22D56ECDF8,U-54519,2024-03-03 00:44:33,18,purchase,P-2753,Home,Sony,673.46,app,android,CA,email,133.0,2040.1,45,true,false
S2-50B9E0195030,U-85866,2024-03-05 11:14:36,18,purchase,P-3183,Sports,New Balance,66.46,mobile,android,BR,paid_search,441.0,653.3,50,true,false
S2-E3AD7B709E85,U-77948,2024-03-02 07:20:29,9,view,P-2543,Sports,OrganicCo,385.22,mobile,android,DE,organic,281.6,2219.5,10,false,false
S2-1220F4D7F9CE,U-17097,2024-03-07 06:01:06,13,purchase,P-9091,Apparel,Apple,134.81,web,desktop,US,email,336.9,678.9,36,true,false
S2-A5578E6E5E01,U-40708,2024-03-06 15:44:44,17,wishlist,P-6319,Electronics,Bose,369.01,web,tablet,CA,social,106.0,3166.1,22,false,true
S2-4DA126A0B518,U-94155,2024-03-04 05:18:33,14,drop,P-8738,Beauty,GreatValue,104.26,mobile,desktop,FR,referral,571.7,145.2,4,false,false
S2-69634C3D4509,U-79945,2024-03-02 17:57:02,4,click,P-1270,Beauty,Olay,34.76,app,ios,AU,organic,292.6,1024.1,30,false,true
S2-70043D0B8FF4,U-65818,2024-03-01 15:44:02,3,add_to_cart,P-4441,Shoes,Sony,84.74,web,desktop,IN,referral,310.9,410.8,50,false,true
S2-8BB71557E36A,U-43880,2024-03-02 23:32:48,5,wishlist,P-5595,Accessories,Sony,52.59,app,android,CA,paid_search,574.4,1482.0,21,false,true
S2-75232205A300,U-99455,2024-03-01 13:47:10,3,wishlist,P-2651,Groceries,H&M,6.06,mobile,desktop,BR,paid_search,493.8,374.5,36,false,true
S2-DC2B6D19353A,U-27247,2024-03-03 21:46:08,9,click,P-4672,Shoes,H&M,36.97,mobile,tablet,DE,email,48.2,3297.5,44,false,true
S2-CC0AD93DF9FE,U-34682,2024-03-03 07:22:17,2,view,P-6006,Home,Spalding,158.26,mobile,android,UK,referral,431.8,1244.7,4,false,true
S2-C09DB3A51C41,U-92266,2024-03-02 16:50:50,6,view,P-4121,Apparel,Wayfair,111.18,app,desktop,UK,referral,290.7,2723.2,4,false,true
S2-C549A9126F10,U-25821,2024-03-03 06:16:21,20,click,P-3490,Apparel,Ray-Ban,179.6,app,android,IN,organic,554.2,2430.4,16,false,true
S2-5DCC8B37E625,U-52411,2024-03-04 12:12:02,2,purchase,P-4854,Shoes,Coach,58.44,mobile,tablet,JP,direct,575.1,2240.9,45,true,false
S2-E0A208685014,U-58839,2024-03-05 01:16:23,12,add_to_cart,P-3589,Beauty,Decathlon,91.03,mobile,tablet,DE,affiliate,282.8,1246.4,25,false,false
S2-4488A818B362,U-41589,2024-03-05 21:16:15,2,click,P-3569,Groceries,Spalding,38.48,app,tablet,JP,paid_search,527.7,3351.5,45,false,true
S2-9560D7364BF1,U-64557,2024-03-01 10:17:08,4,view,P-2892,Sports,Maybelline,272.2,mobile,desktop,AU,referral,197.7,55.0,45,false,true
S2-9CC7FB6A32D7,U-50284,2024-03-01 20:32:37,19,drop,P-5874,Sports,Samsung,294.31,app,android,IN,organic,132.3,3306.3,22,false,false
S2-10B32833629F,U-56512,2024-03-07 06:08:48,17,add_to_cart,P-1474,Home,Under Armour,135.55,app,tablet,AU,email,48.9,1528.2,33,false,false
S2-80C1B18E6C73,U-98434,2024-03-04 02:13:23,13,drop,P-4154,Groceries,Asics,35.31,web,tablet,IN,email,16.9,2036.9,25,false,false
S2-AADE6786A7B1,U-24259,2024-03-06 12:23:14,8,purchase,P-4269,Beauty,Wilson,34.63,app,tablet,FR,referral,25.5,584.0,23,true,false
S2-3637C585809E,U-34111,2024-03-07 01:08:40,6,click,P-1826,Apparel,FreshFarm,142.93,mobile,ios,DE,direct,84.3,138.8,22,false,false
S2-7764A5FAAB55,U-30953,2024-03-06 14:10:42,17,drop,P-7986,Sports,FreshFarm,77.31,mobile,tablet,CA,referral,225.3,60.6,30,false,true
S2-B310832716BC,U-64444,2024-03-06 09:42:39,6,drop,P-6262,Electronics,Fitbit,898.38,web,desktop,IN,affiliate,277.2,3149.3,15,false,true
S2-C0E5E6A1DC8B,U-16286,2024-03-07 20:06:25,12,purchase,P-2005,Sports,Ray-Ban,33.89,app,android,IN,organic,513.3,1266.3,14,true,false
S2-AACA81BC3AAC,U-26934,2024-03-07 01:42:07,20,add_to_cart,P-9327,Electronics,Samsung,523.24,app,tablet,JP,direct,300.1,634.0,49,false,true
S2-ABB751F0D2FD,U-32342,2024-03-04 10:23:27,17,view,P-9758,Beauty,Maybelline,62.09,web,ios,US,direct,186.1,908.7,31,false,false
S2-E2ADB64E8ADA,U-75259,2024-03-06 12:37:13,1,click,P-6253,Electronics,New Balance,330.77,web,desktop,BR,referral,426.5,174.9,38,false,false
S2-2C42220BF1D8,U-91822,2024-03-06 16:29:50,2,add_to_cart,P-4025,Apparel,Fitbit,49.33,app,android,FR,affiliate,472.2,129.6,7,false,false
S2-DC5B369C6FA1,U-75160,2024-03-03 08:44:09,18,wishlist,P-3086,Apparel,Neutrogena,184.7,app,ios,FR,organic,329.8,2725.8,25,false,true
S2-CCE2F36E4C74,U-83675,2024-03-03 09:30:16,13,view,P-3604,Shoes,Nike,326.66,app,tablet,JP,email,533.6,1798.1,34,false,false
S2-07B278D795A9,U-14165,2024-03-07 02:36:04,5,view,P-5358,Sports,Ikea,212.69,mobile,android,IN,organic,65.1,799.2,50,false,false
S2-D33E88982D27,U-57371,2024-03-01 06:55:04,2,drop,P-8221,Shoes,Coach,274.37,web,ios,JP,direct,549.5,2609.5,11,false,true
S2-7FDD0026CC3B,U-85454,2024-03-07 06:13:11,7,purchase,P-7475,Accessories,Loreal,126.88,web,desktop,IN,direct,338.7,220.5,22,true,false
S2-87F5B21B6FA4,U-37351,2024-03-07 13:14:31,9,wishlist,P-9373,Accessories,NatureBest,200.97,app,android,CA,social,349.8,602.1,2,false,false
S2-EB8EC60C13CB,U-20816,2024-03-06 06:12:37,14,view,P-4609,Beauty,FreshFarm,116.41,web,desktop,IN,social,283.9,346.6,49,false,false
S2-A61598DE068E,U-54985,2024-03-06 23:24:18,10,view,P-7553,Beauty,Asics,15.2,app,android,JP,affiliate,490.5,456.6,48,false,false
S2-A412E0305517,U-10567,2024-03-04 06:02:39,1,view,P-9082,Apparel,Bose,98.18,web,android,FR,organic,382.8,3440.9,5,false,true
S2-424B383BA4D0,U-58169,2024-03-04 23:18:38,11,add_to_cart,P-4434,Accessories,Nike,72.17,mobile,desktop,IN,referral,225.9,1114.6,26,false,false
S2-AC711C59D201,U-10921,2024-03-01 13:58:46,1,wishlist,P-4272,Apparel,Wilson,42.44,web,tablet,AU,email,146.1,3551.3,14,false,true
S2-020988648999,U-28015,2024-03-02 07:37:52,16,wishlist,P-8362,Accessories,Coach,56.29,app,ios,FR,social,352.3,1463.8,34,false,false
S2-F0D1B0E67D2A,U-43501,2024-03-02 11:33:23,3,purchase,P-3285,Groceries,Decathlon,13.22,app,android,JP,social,522.2,2287.2,42,true,false
S2-10F4FA9CEDBE,U-72440,2024-03-06 17:02:09,20,click,P-6072,Shoes,Samsung,172.68,app,tablet,DE,direct,550.7,1842.1,18,false,true
S2-955882E27E3C,U-39294,2024-03-07 10:24:12,13,click,P-1682,Groceries,Neutrogena,4.22,web,desktop,US,direct,215.1,1566.9,46,false,true
S2-BBB605645846,U-16684,2024-03-06 17:02:01,20,click,P-2932,Beauty,Spalding,16.96,mobile,desktop,BR,affiliate,570.4,1106.9,33,false,false
S2-EDCB5C768E69,U-91175,2024-03-07 16:38:34,19,purchase,P-5350,Shoes,Loreal,81.38,mobile,desktop,US,direct,419.1,332.1,43,true,false
S2-138AE726CC80,U-15512,2024-03-04 21:28:01,16,purchase,P-8527,Shoes,Apple,267.49,mobile,tablet,US,referral,219.6,3276.2,50,true,false
S2-1EC2D8E685B4,U-69602,2024-03-04 18:15:18,11,wishlist,P-7313,Groceries,Puma,41.09,web,android,JP,email,94.1,911.7,40,false,false
S2-BBE1F34D0AA8,U-23027,2024-03-01 22:30:20,11,click,P-1056,Apparel,Adidas,48.08,web,android,DE,paid_search,87.9,2866.6,3,false,true
S2-FA74090E35BA,U-66528,2024-03-05 09:06:31,7,view,P-7861,Beauty,Dove,46.83,app,tablet,CA,organic,469.0,1050.8,38,false,false
S2-D6A75374C0AC,U-97425,2024-03-04 18:24:44,9,add_to_cart,P-7890,Sports,Target,339.04,web,ios,FR,social,324.3,2020.1,47,false,true
S2-FF439409CCB2,U-97071,2024-03-05 17:49:33,5,drop,P-4968,Accessories,OrganicCo,241.38,app,tablet,US,referral,568.4,1058.8,11,false,false
S2-E9054358DA6A,U-57012,2024-03-05 08:26:54,13,add_to_cart,P-5316,Groceries,NatureBest,20.33,mobile,ios,FR,affiliate,267.3,159.0,46,false,false
S2-06EA6A4859CC,U-80178,2024-03-01 03:18:07,20,wishlist,P-2882,Home,Samsung,508.94,app,android,US,referral,221.5,3378.3,50,false,true
S2-DB929DBA0845,U-13594,2024-03-05 05:26:45,9,purchase,P-5232,Home,OrganicCo,558.23,web,tablet,IN,direct,584.6,392.0,20,true,false
S2-EE1D49D3A1CA,U-35388,2024-03-04 11:32:52,19,view,P-8552,Accessories,Apple,290.68,app,android,IN,referral,171.2,2588.5,25,false,false
S2-88F3823438F6,U-70860,2024-03-01 03:28:21,8,click,P-8041,Accessories,FreshFarm,288.26,app,tablet,FR,organic,530.7,3484.0,24,false,true
S2-F095DB367690,U-14196,2024-03-06 22:16:26,7,add_to_cart,P-5689,Apparel,Mainstays,123.13,mobile,tablet,AU,organic,286.6,227.1,4,false,true
S2-94AA5E6F610E,U-99795,2024-03-06 12:32:42,3,drop,P-5091,Groceries,Asics,36.46,app,desktop,IN,organic,184.4,452.3,32,false,false
S2-0DA63457555B,U-43884,2024-03-04 21:13:56,9,wishlist,P-1742,Accessories,Wilson,186.46,app,desktop,BR,referral,486.6,287.6,49,false,false
S2-92D5EBC33002,U-83392,2024-03-02 14:12:13,13,drop,P-8080,Sports,HomeGoods,75.39,app,android,JP,referral,41.4,2972.0,1,false,true
S2-0409BE0DA8E9,U-32273,2024-03-05 13:48:41,15,purchase,P-5746,Home,Under Armour,715.34,web,android,FR,direct,277.5,2740.7,39,true,false
S2-FF6A9DA14760,U-62453,2024-03-07 00:36:59,2,drop,P-9390,Shoes,Wayfair,240.0,mobile,desktop,BR,affiliate,281.0,908.3,30,false,true
S2-2F786916DACD,U-45343,2024-03-07 13:28:34,4,add_to_cart,P-6366,Apparel,FreshFarm,198.52,web,android,DE,referral,71.2,2986.3,29,false,true
S2-E386D25CEB81,U-68026,2024-03-03 05:49:31,7,drop,P-8451,Accessories,Ikea,89.05,web,desktop,JP,organic,140.6,1871.5,19,false,false
S2-AAA330863043,U-81338,2024-03-05 04:41:46,15,drop,P-7031,Groceries,Asics,31.76,mobile,ios,IN,referral,314.8,2562.2,21,false,false
S2-DD076FFBB759,U-16194,2024-03-05 16:20:06,20,purchase,P-1777,Beauty,Ray-Ban,43.73,app,android,CA,direct,77.2,515.5,5,true,false
S2-037C288A7313,U-61919,2024-03-02 03:23:20,14,view,P-7620,Electronics,Adidas,343.06,app,tablet,UK,social,464.0,529.6,41,false,true
S2-B5A460053C44,U-13205,2024-03-02 14:45:49,5,wishlist,P-1345,Groceries,Spalding,33.1,mobile,desktop,US,direct,388.1,2900.2,12,false,true
S2-97796A0F12B1,U-21665,2024-03-01 13:22:10,11,add_to_cart,P-7236,Apparel,Fitbit,166.62,web,desktop,AU,social,188.2,1004.1,11,false,false
S2-493D1534F6E3,U-89124,2024-03-04 00:17:00,10,add_to_cart,P-7680,Apparel,Neutrogena,62.13,mobile,android,FR,referral,292.4,2746.6,9,false,true
S2-D32BA8C500E7,U-54714,2024-03-02 23:44:47,10,purchase,P-7423,Apparel,Coach,194.91,web,ios,BR,affiliate,288.0,1736.6,35,true,false
S2-9E3768971B78,U-88735,2024-03-05 23:59:55,11,purchase,P-4033,Groceries,Adidas,39.8,mobile,desktop,BR,referral,126.9,3523.0,6,true,false
S2-516EABA7AC3D,U-76799,2024-03-05 00:04:14,4,purchase,P-8922,Apparel,Wilson,158.34,web,desktop,US,social,186.6,1888.6,28,true,false
S2-0881DC59747A,U-47262,2024-03-07 00:38:07,9,purchase,P-9807,Shoes,Coach,37.21,web,ios,AU,email,354.9,3032.7,35,true,false
S2-6B4E84271700,U-52005,2024-03-04 15:37:40,7,click,P-8451,Accessories,Olay,227.25,mobile,android,BR,email,98.4,315.4,17,false,false
S2-BB93E2F32EC8,U-84934,2024-03-04 21:09:18,11,add_to_cart,P-8054,Shoes,DailyFresh,287.67,web,tablet,US,direct,491.3,2712.2,24,false,false
S2-DB2CAB6338C6,U-49946,2024-03-01 00:14:32,19,view,P-5466,Beauty,Fitbit,83.42,mobile,desktop,DE,referral,463.4,871.3,25,false,true
S2-2076237CCFA1,U-43264,2024-03-03 14:16:19,19,add_to_cart,P-3914,Home,Puma,765.31,web,ios,UK,direct,95.2,1985.1,21,false,true
S2-19DB594B2D2A,U-97435,2024-03-05 02:18:15,7,click,P-4808,Beauty,Dove,86.61,app,desktop,DE,affiliate,395.7,3116.4,18,false,true
S2-6325685DBAC3,U-23995,2024-03-04 13:47:18,3,purchase,P-1411,Home,Nike,796.79,web,desktop,DE,referral,218.4,1290.8,21,true,false
S2-0B6F21B52E39,U-89733,2024-03-03 01:58:21,2,purchase,P-1664,Home,Fitbit,340.73,app,tablet,FR,direct,596.9,939.0,44,true,false
S2-35C44E9219C7,U-57459,2024-03-02 07:47:25,15,drop,P-8579,Sports,Ray-Ban,407.74,app,desktop,US,email,566.7,3187.2,3,false,true
S2-BA8D80B36B00,U-72236,2024-03-05 12:35:30,17,click,P-9909,Sports,DailyFresh,196.95,app,ios,US,referral,517.0,995.7,7,false,false
S2-0D9901C197E1,U-82934,2024-03-04 04:44:41,12,purchase,P-1821,Shoes,Fossil,182.51,app,desktop,CA,referral,438.4,2748.2,3,true,false
S2-24E82B7368CA,U-16768,2024-03-03 08:02:28,9,wishlist,P-2682,Electronics,NatureBest,1025.52,web,ios,US,referral,553.0,761.4,3,false,false
S2-5E0F68504C45,U-74029,2024-03-03 10:10:38,17,click,P-7918,Home,Puma,270.6,app,ios,JP,referral,173.5,3103.4,29,false,true
S2-83805348D38A,U-26036,2024-03-03 11:19:11,7,click,P-6134,Groceries,H&M,29.66,mobile,tablet,FR,affiliate,294.0,1126.1,11,false,false
S2-99FD61599C6D,U-43532,2024-03-03 04:44:16,20,purchase,P-2660,Apparel,GreatValue,194.63,mobile,ios,IN,paid_search,542.3,2643.4,3,true,false
S2-FD61048E9672,U-17047,2024-03-01 08:01:40,12,click,P-1106,Beauty,HomeGoods,38.73,mobile,desktop,JP,paid_search,579.2,1157.2,25,false,false
S2-C0E64E29A87A,U-33075,2024-03-07 14:00:55,10,click,P-4061,Sports,Decathlon,492.55,web,android,AU,social,297.4,911.4,17,false,false
S2-CBD99E23024C,U-85467,2024-03-07 10:53:12,6,click,P-3688,Apparel,Dove,87.67,app,desktop,AU,email,570.0,1932.4,42,false,false
S2-5B7320B5893D,U-77540,2024-03-03 18:35:49,18,view,P-3992,Shoes,Asics,24.92,app,ios,IN,organic,71.9,1247.1,19,false,false
S2-628D13714DD2,U-67326,2024-03-01 00:39:31,3,wishlist,P-1431,Shoes,NatureBest,158.17,web,android,BR,organic,154.1,936.2,7,false,false
S2-9413E91AA31E,U-16334,2024-03-04 02:48:32,17,view,P-6848,Sports,Wilson,39.74,web,tablet,UK,affiliate,490.5,1762.2,21,false,true
S2-A3DB1F3A9E3C,U-86289,2024-03-03 08:11:55,15,drop,P-1495,Accessories,Samsung,205.29,app,tablet,JP,affiliate,249.4,788.0,33,false,false
S2-D32E9511A188,U-60395,2024-03-04 20:13:00,15,click,P-5849,Home,HomeGoods,296.23,web,ios,UK,email,493.3,2898.8,42,false,false
S2-48ACF93E697B,U-30622,2024-03-05 13:02:01,7,click,P-2904,Beauty,NatureBest,67.79,mobile,android,BR,direct,146.1,2426.4,11,false,false
S2-A2C8424423CF,U-30808,2024-03-02 23:35:10,17,add_to_cart,P-4257,Shoes,NatureBest,186.6,mobile,tablet,IN,affiliate,591.8,1955.2,34,false,true
S2-705B0F0C462B,U-15651,2024-03-05 11:28:40,4,drop,P-6403,Electronics,Fossil,1362.58,mobile,tablet,US,paid_search,269.3,764.3,43,false,true
S2-876FCF1FBE5A,U-47572,2024-03-01 19:21:13,10,view,P-2245,Groceries,Wayfair,16.57,app,ios,CA,referral,548.1,661.7,29,false,false
S2-DEFBB2A7A094,U-91000,2024-03-05 19:48:51,9,purchase,P-4910,Apparel,OrganicCo,149.89,web,desktop,US,affiliate,311.9,1539.8,38,true,false
S2-8C73F5B620D0,U-93339,2024-03-01 15:08:30,3,purchase,P-1115,Groceries,Mainstays,5.97,app,ios,FR,affiliate,343.0,853.4,47,true,false
S2-CBC454504A03,U-94158,2024-03-02 21:35:53,12,wishlist,P-8295,Beauty,NatureBest,58.24,web,desktop,CA,referral,316.0,791.1,43,false,true
S2-403909C1D24E,U-69971,2024-03-02 23:40:03,7,view,P-5696,Home,HomeGoods,118.77,mobile,android,AU,social,152.4,1063.8,24,false,false
S2-BE1C276698BC,U-37925,2024-03-07 23:32:53,19,drop,P-3337,Electronics,DailyFresh,467.86,mobile,android,JP,organic,523.7,2812.9,32,false,true
S2-21B2789CFC0A,U-32332,2024-03-04 16:47:39,4,click,P-8641,Electronics,Mainstays,364.33,web,android,DE,social,419.4,1213.7,25,false,false
